Swap,Two opt,,,
4007,4007,4007,4007,4007
807,807,807,807,807
973,973,973,973,973
1079,1079,1079,1079,1079
974,974,974,974,974
67529,67529,67529,67529,67529
13794,13794,13794,13794,13794
14751,14751,14751,14751,14751
17267,17267,17267,17267,17267
14999,14999,14999,14999,14999
93807,93807,93807,93807,93807
21475,21475,21475,21475,21475
25087,25087,25087,25087,25087
26160,26160,26160,26160,26160
21131,21131,21131,21131,21131
17440,17440,17440,17440,17440
3186,3186,3186,3186,3186
3555,3555,3555,3555,3555
3998,3998,3998,3998,3998
3606,3606,3606,3606,3606
37886,37886,37886,37886,37886
7343,7343,7343,7343,7343
9036,9036,9036,9036,9036
9427,9427,9427,9427,9427
8104,8104,8104,8104,8104
243,243,243,243,243
215,215,215,215,215
222,222,222,222,222
222,222,222,222,222
202,202,202,202,202
6986,6986,6986,6986,6986
4981,4981,4981,4981,4981
6508,6508,6508,6508,6508
6234,6234,6234,6234,6234
5697,5697,5697,5697,5697
11506,11506,11506,11506,11506
7961,7961,7961,7961,7961
10008,10008,10008,10008,10008
10275,10275,10275,10275,10275
10339,10339,10339,10339,10339
1041,1041,1041,1041,1041
1033,1033,1033,1033,1033
1093,1093,1093,1093,1093
1093,1093,1093,1093,1093
1020,1020,1020,1020,1020
2827,2827,2827,2827,2827
2307,2307,2307,2307,2307
2358,2358,2358,2358,2358
2516,2516,2516,2516,2516
2307,2307,2307,2307,2307
1024,1024,1024,1024,1024
444,444,444,444,444
551,551,551,551,551
509,509,509,509,509
501,501,501,501,501
16220,16220,16220,16220,16220
7957,7957,7957,7957,7957
8520,8520,8520,8520,8520
9554,9554,9554,9554,9554
8313,8313,8313,8313,8313
26480,26480,26480,26480,26480
11839,11839,11839,11839,11839
12993,12993,12993,12993,12993
13904,13904,13904,13904,13904
12182,12182,12182,12182,12182
4501,4501,4501,4501,4501
1905,1905,1905,1905,1905
2073,2073,2073,2073,2073
2467,2467,2467,2467,2467
2132,2132,2132,2132,2132
8008,8008,8008,8008,8008
3742,3742,3742,3742,3742
4221,4221,4221,4221,4221
4539,4539,4539,4539,4539
4144,4144,4144,4144,4144
2134,2134,2134,2134,2134
630,630,630,630,630
821,821,821,821,821
808,808,808,808,808
699,699,699,699,699
34171,34171,34171,34171,34171
10187,10187,10187,10187,10187
11440,11440,11440,11440,11440
11701,11701,11701,11701,11701
11008,11008,11008,11008,11008
50116,50116,50116,50116,50116
13986,13986,13986,13986,13986
16840,16840,16840,16840,16840
18644,18644,18644,18644,18644
16275,16275,16275,16275,16275
9020,9020,9020,9020,9020
2493,2493,2493,2493,2493
2566,2566,2566,2566,2566
2821,2821,2821,2821,2821
2997,2997,2997,2997,2997
20174,20174,20174,20174,20174
5784,5784,5784,5784,5784
5989,5989,5989,5989,5989
6176,6176,6176,6176,6176
6294,6294,6294,6294,6294
2972,2972,2972,2972,2972
770,770,770,770,770
844,844,844,844,844
1003,1003,1003,1003,1003
854,854,854,854,854
48749,48749,48749,48749,48749
11914,11914,11914,11914,11914
12972,12972,12972,12972,12972
14469,14469,14469,14469,14469
13866,13866,13866,13866,13866
82435,82435,82435,82435,82435
18870,18870,18870,18870,18870
20333,20333,20333,20333,20333
23043,23043,23043,23043,23043
21297,21297,21297,21297,21297
10881,10881,10881,10881,10881
2840,2840,2840,2840,2840
3294,3294,3294,3294,3294
3790,3790,3790,3790,3790
3232,3232,3232,3232,3232
31112,31112,31112,31112,31112
7311,7311,7311,7311,7311
8182,8182,8182,8182,8182
8729,8729,8729,8729,8729
7386,7386,7386,7386,7386
